"","date","hour","j_day","day_time","month","year","filename"
"48","2000-09-05","01:00:00","249","ni","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00249lst_ni"
"49","2000-09-13","13:00:00","257","da","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00257lst_da"
"50","2000-09-13","01:00:00","257","ni","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00257lst_ni"
"51","2000-09-21","13:00:00","265","da","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00265lst_da"
"52","2000-09-21","01:00:00","265","ni","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00265lst_ni"
"53","2000-09-29","13:00:00","273","da","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00273lst_da"
"54","2000-09-29","01:00:00","273","ni","09","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00273lst_ni"
"55","2000-10-07","13:00:00","281","da","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00281lst_da"
"56","2000-10-07","01:00:00","281","ni","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00281lst_ni"
"57","2000-10-15","13:00:00","289","da","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00289lst_da"
"58","2000-10-15","01:00:00","289","ni","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00289lst_ni"
"59","2000-10-23","13:00:00","297","da","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00297lst_da"
"60","2000-10-23","01:00:00","297","ni","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00297lst_ni"
"61","2000-10-31","13:00:00","305","da","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00305lst_da"
"62","2000-10-31","01:00:00","305","ni","10","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00305lst_ni"
"63","2000-11-08","13:00:00","313","da","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00313lst_da"
"64","2000-11-08","01:00:00","313","ni","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00313lst_ni"
"65","2000-11-16","13:00:00","321","da","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00321lst_da"
"66","2000-11-16","01:00:00","321","ni","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00321lst_ni"
"67","2000-11-24","13:00:00","329","da","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00329lst_da"
"68","2000-11-24","01:00:00","329","ni","11","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00329lst_ni"
"69","2000-12-02","13:00:00","337","da","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00337lst_da"
"70","2000-12-02","01:00:00","337","ni","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00337lst_ni"
"71","2000-12-10","13:00:00","345","da","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00345lst_da"
"72","2000-12-10","01:00:00","345","ni","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00345lst_ni"
"73","2000-12-18","13:00:00","353","da","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00353lst_da"
"74","2000-12-18","01:00:00","353","ni","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00353lst_ni"
"75","2000-12-26","13:00:00","361","da","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00361lst_da"
"76","2000-12-26","01:00:00","361","ni","12","2000","C:\Estagio\raw_datav2\tidy_data_v2\a00361lst_ni"
"77","2001-01-01","13:00:00","1","da","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01001lst_da"
"78","2001-01-01","01:00:00","1","ni","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01001lst_ni"
"79","2001-01-09","13:00:00","9","da","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01009lst_da"
"80","2001-01-09","01:00:00","9","ni","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01009lst_ni"
"81","2001-01-17","13:00:00","17","da","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01017lst_da"
"82","2001-01-17","01:00:00","17","ni","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01017lst_ni"
"83","2001-01-25","13:00:00","25","da","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01025lst_da"
"84","2001-01-25","01:00:00","25","ni","01","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01025lst_ni"
"85","2001-02-02","13:00:00","33","da","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01033lst_da"
"86","2001-02-02","01:00:00","33","ni","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01033lst_ni"
"87","2001-02-10","13:00:00","41","da","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01041lst_da"
"88","2001-02-10","01:00:00","41","ni","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01041lst_ni"
"89","2001-02-18","13:00:00","49","da","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01049lst_da"
"90","2001-02-18","01:00:00","49","ni","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01049lst_ni"
"91","2001-02-26","13:00:00","57","da","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01057lst_da"
"92","2001-02-26","01:00:00","57","ni","02","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01057lst_ni"
"93","2001-03-06","13:00:00","65","da","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01065lst_da"
"94","2001-03-06","01:00:00","65","ni","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01065lst_ni"
"95","2001-03-14","13:00:00","73","da","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01073lst_da"
"96","2001-03-14","01:00:00","73","ni","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01073lst_ni"
"97","2001-03-22","13:00:00","81","da","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01081lst_da"
"98","2001-03-22","01:00:00","81","ni","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01081lst_ni"
"99","2001-03-30","13:00:00","89","da","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01089lst_da"
"100","2001-03-30","01:00:00","89","ni","03","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01089lst_ni"
"101","2001-04-07","13:00:00","97","da","04","2001","C:\Estagio\raw_datav2\tidy_data_v2\a01097lst_da"
