"","date","hour","j_day","day_time","month","year","filename"
"48","2013-07-04","01:00:00","185","ni","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13185lst_ni"
"49","2013-07-12","13:00:00","193","da","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13193lst_da"
"50","2013-07-12","01:00:00","193","ni","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13193lst_ni"
"51","2013-07-20","13:00:00","201","da","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13201lst_da"
"52","2013-07-20","01:00:00","201","ni","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13201lst_ni"
"53","2013-07-28","13:00:00","209","da","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13209lst_da"
"54","2013-07-28","01:00:00","209","ni","07","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13209lst_ni"
"55","2013-08-05","13:00:00","217","da","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13217lst_da"
"56","2013-08-05","01:00:00","217","ni","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13217lst_ni"
"57","2013-08-13","13:00:00","225","da","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13225lst_da"
"58","2013-08-13","01:00:00","225","ni","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13225lst_ni"
"59","2013-08-21","13:00:00","233","da","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13233lst_da"
"60","2013-08-21","01:00:00","233","ni","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13233lst_ni"
"61","2013-08-29","13:00:00","241","da","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13241lst_da"
"62","2013-08-29","01:00:00","241","ni","08","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13241lst_ni"
"63","2013-09-06","13:00:00","249","da","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13249lst_da"
"64","2013-09-06","01:00:00","249","ni","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13249lst_ni"
"65","2013-09-14","13:00:00","257","da","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13257lst_da"
"66","2013-09-14","01:00:00","257","ni","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13257lst_ni"
"67","2013-09-22","13:00:00","265","da","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13265lst_da"
"68","2013-09-22","01:00:00","265","ni","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13265lst_ni"
"69","2013-09-30","13:00:00","273","da","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13273lst_da"
"70","2013-09-30","01:00:00","273","ni","09","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13273lst_ni"
"71","2013-10-08","13:00:00","281","da","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13281lst_da"
"72","2013-10-08","01:00:00","281","ni","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13281lst_ni"
"73","2013-10-16","13:00:00","289","da","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13289lst_da"
"74","2013-10-16","01:00:00","289","ni","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13289lst_ni"
"75","2013-10-24","13:00:00","297","da","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13297lst_da"
"76","2013-10-24","01:00:00","297","ni","10","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13297lst_ni"
"77","2013-11-01","13:00:00","305","da","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13305lst_da"
"78","2013-11-01","01:00:00","305","ni","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13305lst_ni"
"79","2013-11-09","13:00:00","313","da","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13313lst_da"
"80","2013-11-09","01:00:00","313","ni","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13313lst_ni"
"81","2013-11-17","13:00:00","321","da","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13321lst_da"
"82","2013-11-17","01:00:00","321","ni","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13321lst_ni"
"83","2013-11-25","13:00:00","329","da","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13329lst_da"
"84","2013-11-25","01:00:00","329","ni","11","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13329lst_ni"
"85","2013-12-03","13:00:00","337","da","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13337lst_da"
"86","2013-12-03","01:00:00","337","ni","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13337lst_ni"
"87","2013-12-11","13:00:00","345","da","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13345lst_da"
"88","2013-12-11","01:00:00","345","ni","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13345lst_ni"
"89","2013-12-19","13:00:00","353","da","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13353lst_da"
"90","2013-12-19","01:00:00","353","ni","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13353lst_ni"
"91","2013-12-27","13:00:00","361","da","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13361lst_da"
"92","2013-12-27","01:00:00","361","ni","12","2013","C:\Estagio\raw_datav2\tidy_data_v2\a13361lst_ni"
